"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia";"coordenada_x_utm";"coordenada_y_utm"
"39";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Todo terreno";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";439683,32;4471490,46
"40";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana";439683,32;4471490,46
"42";"PUENTE DE VALLECAS";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";445287,16;4470948,6
"43";"CIUDAD LINEAL";"Alcance";"Despejado";"Turismo";"Conductor";"Desconocido";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";445104,18;4475415,54
"44";"CIUDAD LINEAL";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";445104,18;4475415,54
"45";"RETIRO";"Alcance";"Desconocido";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443519,37;4473136,33
"46";"RETIRO";"Alcance";"Desconocido";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443519,37;4473136,33
"47";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 45 a 49 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";443008,89;4471208,28
"48";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde";443008,89;4471208,28
"49";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde";443008,89;4471208,28
"50";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde";443008,89;4471208,28
"54";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche";439300,66;4472046,72
"55";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"Desconocido";"Desconocido";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";439300,66;4472046,72
"58";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";441391,67;4468222,3
"59";"VILLAVERDE";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";441391,67;4468222,3
"60";"MONCLOA-ARAVACA";"Caída";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"January";"Noche";432582;4479999,88
"67";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Madrugada";444771,65;4470391,97
"68";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Madrugada";444771,65;4470391,97
"69";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Madrugada";444771,65;4470391,97
"70";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Madrugada";444771,65;4470391,97
"71";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442047,83;4470576
"72";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442047,83;4470576
"73";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442047,83;4470576
"74";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442047,83;4470576
"75";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"January";"Tarde";442047,83;4470576
"76";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442047,83;4470576
"77";"SAN BLAS-CANILLEJAS";"Colisión frontal";"Despejado";"Bicicleta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana";446707,36;4476485,65
"78";"SAN BLAS-CANILLEJAS";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";446707,36;4476485,65
"80";"LATINA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";436922,97;4472882,84
"81";"PUENTE DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";444868,75;4470556,14
"82";"PUENTE DE VALLECAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"January";"Mañana";444868,75;4470556,14
"83";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";448170,33;4476147,29
"84";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana";448170,33;4476147,29
"85";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";448170,33;4476147,29
"86";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana";442369,88;4471803,39
"87";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";442369,88;4471803,39
"88";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";442369,88;4471803,39
"91";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Camión rígido";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";444134,79;4476978,33
"92";"CIUDAD LINEAL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";444134,79;4476978,33
"93";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde";445536,97;4477781,96
"94";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";445536,97;4477781,96
"95";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"1";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde";445536,97;4477781,96
"96";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";445536,97;4477781,96
"97";"CENTRO";"Colisión lateral";"Despejado";"Furgoneta";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";440906,79;4475461,46
"98";"CENTRO";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"January";"Tarde";440906,79;4475461,46
"99";"CENTRO";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";440906,79;4475461,46
"100";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"Desconocido";"Desconocido";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";440055,87;4472875,91
"101";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";440055,87;4472875,91
"102";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";440055,87;4472875,91
"103";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";440055,87;4472875,91
"104";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada";440055,87;4472875,91
"106";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche";438797,72;4480843,05
"107";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";438797,72;4480843,05
"111";"HORTALEZA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";444430,09;4480509,64
"113";"RETIRO";"Colisión fronto-lateral";"Despejado";"Autobús";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";441934,05;4474646,13
"114";"RETIRO";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"January";"Tarde";441934,05;4474646,13
"118";"ARGANZUELA";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Tarde";439060,84;4472891,57
"121";"ARGANZUELA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";439060,84;4472891,57
"122";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442565,04;4475116,99
"123";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442565,04;4475116,99
"124";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442565,04;4475116,99
"125";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 70 a 74 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442565,04;4475116,99
"126";"ARGANZUELA";"Caída";"Desconocido";"Motocicleta hasta 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";441010,4;4471692,48
"127";"ARGANZUELA";"Caída";"Desconocido";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";441010,4;4471692,48
"133";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde";448056,89;4477471,4
"134";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";448056,89;4477471,4
"135";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";448056,89;4477471,4
"136";"CHAMARTÍN";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";442895,56;4480253,6
"137";"CHAMARTÍN";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde";442895,56;4480253,6
"138";"HORTALEZA";"Colisión frontal";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Mortal";"Fallecido 24 horas";"January";"Noche";444769,03;4480152,35
"141";"HORTALEZA";"Colisión frontal";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";444769,03;4480152,35
"142";"TETUÁN";"Colisión frontal";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";441046,12;4478174,02
"143";"TETUÁN";"Colisión frontal";"Despejado";"Motocicleta > 125cc";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";441046,12;4478174,02
"144";"TETUÁN";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";441046,12;4478174,02
"148";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";438864,33;4480924,81
"149";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Peatón";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde";438864,33;4480924,81
"150";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";435962,84;4468096,98
"151";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Peatón";"Menor de 5 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche";435962,84;4468096,98
"155";"CARABANCHEL";"Colisión múltiple";"Despejado";"Furgoneta";"Conductor";"De 35 a 39 años";"Mujer";"S";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche";437723,35;4470055,36
"156";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";437723,35;4470055,36
"157";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 70 a 74 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche";437723,35;4470055,36
"158";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 70 a 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";437723,35;4470055,36
"159";"MONCLOA-ARAVACA";"Colisión lateral";"Despejado";"Camión rígido";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";436365,53;4480238,91
"160";"MONCLOA-ARAVACA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde";436365,53;4480238,91
"161";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Furgoneta";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443224,83;4472185,35
"162";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443224,83;4472185,35
"165";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche";440822,56;4470794,97
"166";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";440822,56;4470794,97
"167";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche";440822,56;4470794,97
"168";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche";440822,56;4470794,97
"169";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";440822,56;4470794,97
"184";"ARGANZUELA";"Otro";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";442189,75;4471784,85
"188";"MORATALAZ";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Mañana";444010,57;4474021,08
"189";"MORATALAZ";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Mañana";444010,57;4474021,08
"196";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana";443101,06;4470776,13
"197";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana";443101,06;4470776,13
"202";"BARAJAS";"Caída";"Nublado";"Motocicleta hasta 125cc";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Tarde";450664,76;4478228,99
"206";"ARGANZUELA";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";440747,93;4472141,82
"207";"ARGANZUELA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";440747,93;4472141,82
"208";"ARGANZUELA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 40 a 44 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"January";"Tarde";440747,93;4472141,82
"209";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde";447189,47;4474396,38
"210";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde";447189,47;4474396,38
"222";"CHAMARTÍN";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";442610,95;4478123,5
"223";"CHAMARTÍN";"Colisión lateral";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";442610,95;4478123,5
"224";"CHAMARTÍN";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 70 a 74 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";442610,95;4478123,5
"227";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche";441880,11;4476139,52
"228";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";441880,11;4476139,52
"231";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche";446448,16;4475637,63
"232";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche";446448,16;4475637,63
"235";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"S";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Madrugada";442840,06;4476187,67
