"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia"
"101";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"102";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"103";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"104";"ARGANZUELA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"106";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche"
"107";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"111";"HORTALEZA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"113";"RETIRO";"Colisión fronto-lateral";"Despejado";"Autobús";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"114";"RETIRO";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"January";"Tarde"
"118";"ARGANZUELA";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Tarde"
"121";"ARGANZUELA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"122";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"123";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"124";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"125";"SALAMANCA";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 70 a 74 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"126";"ARGANZUELA";"Caída";"Desconocido";"Motocicleta hasta 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"127";"ARGANZUELA";"Caída";"Desconocido";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"133";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"134";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"135";"SAN BLAS-CANILLEJAS";"Alcance";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"136";"CHAMARTÍN";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"137";"CHAMARTÍN";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"138";"HORTALEZA";"Colisión frontal";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Mortal";"Fallecido 24 horas";"January";"Noche"
"141";"HORTALEZA";"Colisión frontal";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"142";"TETUÁN";"Colisión frontal";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"143";"TETUÁN";"Colisión frontal";"Despejado";"Motocicleta > 125cc";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"144";"TETUÁN";"Colisión frontal";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"148";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"149";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Peatón";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Tarde"
"150";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"151";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Peatón";"Menor de 5 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"155";"CARABANCHEL";"Colisión múltiple";"Despejado";"Furgoneta";"Conductor";"De 35 a 39 años";"Mujer";"S";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche"
"156";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"157";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 70 a 74 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"158";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 70 a 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"159";"MONCLOA-ARAVACA";"Colisión lateral";"Despejado";"Camión rígido";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"160";"MONCLOA-ARAVACA";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"161";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Furgoneta";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"162";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"165";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"166";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"167";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"168";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"169";"USERA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"184";"ARGANZUELA";"Otro";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"188";"MORATALAZ";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Mañana"
"189";"MORATALAZ";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Mañana"
"196";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana"
"197";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"202";"BARAJAS";"Caída";"Nublado";"Motocicleta hasta 125cc";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Tarde"
"206";"ARGANZUELA";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"207";"ARGANZUELA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"208";"ARGANZUELA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 40 a 44 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"January";"Tarde"
"209";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"210";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"222";"CHAMARTÍN";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"223";"CHAMARTÍN";"Colisión lateral";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"224";"CHAMARTÍN";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 70 a 74 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"227";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche"
"228";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"231";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Noche"
"232";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"235";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"S";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Madrugada"
"236";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"January";"Madrugada"
"237";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Madrugada"
"238";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"S";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Madrugada"
"239";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Madrugada"
"250";"FUENCARRAL-EL PARDO";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"251";"FUENCARRAL-EL PARDO";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Mañana"
"252";"FUENCARRAL-EL PARDO";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"253";"CHAMBERÍ";"Alcance";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"January";"Tarde"
"254";"CHAMBERÍ";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Tarde"
"257";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Desconocido";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
"258";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Desconocido";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Mañana"
